screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter,IO_meta_clf,isIO_meta_prob,is_IO,is_IO_prob
El4T7W2d02pKnFF,กมล,"""คนไทย"" ใน ""อู่ฮั่น"" อัปเดตสถานการณ์ ""ไวรัสโคโรน่า"" มีหลายอย่างที่ดีขึ้น-แย่
http://www.topicza.com/news102560.html?d=29012020&f=87344 …
#เสีอโหย#
#ไอซ์หีบเหล็ก
#ไอรีนสวยมาก
#รัฐบาลเฮงซวย
#รัฐศาสตร์มธ
#รัฐบาลโง่
#รัฐบาลเฮ็งซวย
#รัฐศาสตร์
#รัฐบาลหัวควย
#รัฐบาลเตรียมพร้อม
#ตุ๊กตามินฮยอน",2020-01-28 19:17:21,32,1,28,-1,0,1221312528212316160,2020-01-26 06:03:00,31 days 17:57:00.000000000,31,1,0.97569287,1,0.9523046705893732
trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/armypr_news/status/1222067491024715776 …,2020-01-28 13:27:34,30,4,1032,-1,2,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9530403159859965
trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:27:29,30,4,1032,-1,1,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.934931496578125
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/ThaksinsLife/status/1222118721457549313 …,2020-01-28 13:00:55,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9524494982441026
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:00:49,30,4,1032,-1,1,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9414012890719934
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:00:38,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9414012890719934
trueman98587845,trueman,และจีนก็กลัวว่าขนกลับมามาแพร่เชื้อ จีนโดนด่าอีก ปล่อยไปได้ไง จะมีแต่พวก ออกมารัวๆ อ้าง ว่ามีคนอยากกลับบ้าน #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/Itsara_Th/status/1222125603253440513 …,2020-01-28 12:36:36,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9532024405195771
trueman98587845,trueman,และจีนก็กลัวว่าขนกลับมามาแพร่เชื้อ จีนโดนด่าอีก ปล่อยไปได้ไง จะมีแต่พวก ออกมารัวๆ อ้าง ว่ามีคนอยากกลับบ้าน #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 12:36:27,30,4,1032,-1,2,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9405868370018605
thaiprong,รวมใจไทยปรองดอง,"ขอร้องทุกคนช่วยเสพสื่ออย่างมีสติ อย่าแชร์ข่าวปลอม เพราะจะสร้างความตื่นตระหนกให้กับคนไทย ซึ่งรัฐบาล ไทยได้เตรียมความพร้อมรับสถานการณ์การระบาดของไวรัสโคโรนาไว้แล้ว #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/suchartonly/status/1221766595925536768 …",2020-01-28 08:28:56,304,99,78,-1,8,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.9053777857273297
thaiprong,รวมใจไทยปรองดอง,"อีกด้านหนึ่งของสังคมไทย ที่ได้มองเห็นแล้วก็รู้สึกได้ว่า #แผ่นดินไทยไม่สิ้นคนดี ฉะนั้นเรามาร่วมใจกันสรา้งสังคมให้น่าอยู่ดีกว่าไหม. #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/onenews31/status/1221816691409084418 …",2020-01-28 08:26:36,304,99,78,-1,7,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.9160531845911423
thaiprong,รวมใจไทยปรองดอง,"ทหารเป็นได้ทุกอย่าจริงๆ #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222067491024715776 …",2020-01-28 08:19:02,304,99,78,-1,8,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.9198008351559264
El4T7W2d02pKnFF,กมล,"""คนไทย"" ใน ""อู่ฮั่น"" อัปเดตสถานการณ์ ""ไวรัสโคโรน่า"" มีหลายอย่างที่ดีขึ้น-แย่
http://www.topicza.com/news102560.html?d=29012020&f=87344 …
#เสีอโหย#
#ไอซ์หีบเหล็ก
#ไอรีนสวยมาก
#รัฐบาลเฮงซวย
#รัฐศาสตร์มธ
#รัฐบาลโง่
#รัฐบาลเฮ็งซวย
#รัฐศาสตร์
#รัฐบาลหัวควย
#รัฐบาลเตรียมพร้อม
#ตุ๊กตามินฮยอน",2020-01-28 19:17:21,32,1,28,-1,0,1221312528212316160,2020-01-26 06:03:00,31 days 17:57:00.000000000,31,1,0.97569287,1,0.9523046705893732
trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/armypr_news/status/1222067491024715776 …,2020-01-28 13:27:34,30,4,1032,-1,2,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9530403159859965
trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:27:29,30,4,1032,-1,1,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.934931496578125
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/ThaksinsLife/status/1222118721457549313 …,2020-01-28 13:00:55,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9524494982441026
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:00:49,30,4,1032,-1,1,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9414012890719934
trueman98587845,trueman,คุณหญิง แมร่งออกตัวแรงตั้งแต่ ข่าว Fake ละสร้างสถานการณ์ได้แบบมีคนเชื่อด้วยนะ อันที่จริงแมร่งน่าจะร่วมมือกันระหว่างฝ่ายค้านกับรัฐบาลทำงาน นี่อะไรด่ากันไปด่ากันมา #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:00:38,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9414012890719934
trueman98587845,trueman,และจีนก็กลัวว่าขนกลับมามาแพร่เชื้อ จีนโดนด่าอีก ปล่อยไปได้ไง จะมีแต่พวก ออกมารัวๆ อ้าง ว่ามีคนอยากกลับบ้าน #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาสhttps://twitter.com/Itsara_Th/status/1222125603253440513 …,2020-01-28 12:36:36,30,4,1032,-1,0,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9532024405195771
trueman98587845,trueman,และจีนก็กลัวว่าขนกลับมามาแพร่เชื้อ จีนโดนด่าอีก ปล่อยไปได้ไง จะมีแต่พวก ออกมารัวๆ อ้าง ว่ามีคนอยากกลับบ้าน #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 12:36:27,30,4,1032,-1,2,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35,1,0.9979159,1,0.9405868370018605
